flight,seq,uid,timestamp,wind_speed,wind_angle,battery_voltage,battery_current,position_x,position_y,position_z,altitude,orientation_x,orientation_y,orientation_z,orientation_w,velocity_x,velocity_y,velocity_z,angular_x,angular_y,angular_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,payload,yaw,IDLE_HOVER,ASCEND,TURN,HMSL,DESCEND
3,1378,a3d9,1674047222,4.519999981,200,44065,18420,33.41493988,35.1455574,39.19034576,200,-0.015355165,0.027218116,0.192110851,0.980875552,4.76575613,1.882289052,-0.032571208,0.017612396,-0.048438016,-0.021709336,0.130124703,-0.028378189,-0.021591187,0.470999986,0.386231926,0,0,0,1,0
3,1379,a3d9,1674047222,13.42000008,253,44067,18420,33.41494751,35.1455574,39.18995667,200,-0.016834658,0.024303861,0.192094073,0.980931103,4.778186798,1.876830816,-0.029650752,-0.063520223,-0.036778692,0.02732409,0.061658658,-0.079934925,-0.0974617,0.470999986,0.38611935,0,0,0,1,0
3,1380,a3d9,1674047222,13.42000008,253,44067,18420,33.41495132,35.14556122,39.18757629,200,-0.019445369,0.02217767,0.192354977,0.980882049,4.779811382,1.877067447,-0.025275614,-0.035439603,0.0052299,-0.019626701,-0.041607302,-0.031658906,0.062257767,0.470999986,0.386536739,0,0,0,1,0
3,1381,a3d9,1674047222,13.42000008,253,44091,18420,33.41495895,35.14556122,39.18160248,200,-0.020580955,0.021462157,0.193006784,0.980746746,4.776528358,1.882312179,-0.019343313,-0.021281976,-0.009123994,-0.068284981,-0.06174542,-0.028015293,0.26130867,0.470999986,0.387820788,0,0,0,1,0
3,1382,a3d9,1674047222,13.42000008,253,44091,18420,33.41496277,35.14556503,39.17867279,200,-0.020732177,0.021575373,0.193099022,0.980722904,4.770211697,1.893141985,-0.014625121,0.045430273,0.008747101,0.034798585,-0.069427744,0.067936912,0.039885521,0.470999986,0.388000246,0,0,0,1,0
3,1383,a3d9,1674047222,13.42000008,253,44098,18420,33.41496658,35.14556503,39.18244171,200,-0.018913046,0.022737551,0.193539813,0.980646551,4.766372681,1.89693892,-0.012522884,-0.001871073,0.033398811,0.088348903,-0.01379802,-0.039539877,0.073690414,0.470999986,0.388974419,0,0,0,1,0
3,1384,a3d9,1674047223,13.42000008,253,44098,18420,33.4149704,35.14556885,39.18302155,200,-0.018711798,0.022512566,0.193834618,0.980597377,4.769382477,1.895140409,-0.01293114,-0.010213307,-0.041862998,0.003918143,-0.000175922,-0.047113296,0.011809349,0.470999986,0.389587752,0,0,0,1,0
3,1385,a3d9,1674047223,13.42000008,253,44112,18472,33.41497803,35.14556885,39.18527985,200,-0.020826554,0.021250283,0.194755778,0.980400383,4.76936245,1.891232133,-0.017855054,-0.048894968,-0.052528791,-0.013577965,-0.040841624,-0.018601378,-0.081737518,0.470999986,0.391380695,0,0,0,1,0
3,1386,a3d9,1674047223,13.42000008,253,44112,18472,33.41498566,35.14557266,39.18301392,200,-0.022904076,0.020176524,0.195548892,0.980218828,4.762787819,1.897548795,-0.019117057,-0.05553427,0.019415557,0.010513543,-0.081126399,0.028370319,0.016304016,0.470999986,0.392920498,0,0,0,1,0
3,1387,a3d9,1674047223,13.42000008,253,44110,18472,33.41498947,35.14557266,39.19046021,200,-0.023859078,0.021149471,0.196226656,0.980040073,4.75300312,1.906021595,-0.018390007,0.013481393,0.025832292,-0.015443206,-0.108001411,0.048110448,0.015922546,0.470999986,0.394240494,0,0,0,1,0
3,1388,a3d9,1674047223,13.42000008,253,44110,18472,33.41499329,35.14557266,39.18896484,200,-0.020849269,0.00888147,0.19715479,0.980110407,4.755050182,1.919288874,-0.011465297,0.037602421,-0.413687766,-0.001882102,0.026043098,0.126956254,-0.117259979,0.470999986,0.396533836,0,0,1,1,0
3,1389,a3d9,1674047223,10.15999985,251,44113,18472,33.41500092,35.14557648,39.1922226,200,-0.015716219,-0.01908681,0.196242809,0.980243564,4.721885204,1.908596516,-0.008529656,0.008726505,-0.902857006,-0.206269339,-0.470948517,-0.248638839,-0.140570641,0.470999986,0.395771046,0,0,1,1,0
3,1390,a3d9,1674047223,10.15999985,251,44113,18472,33.41500473,35.14557648,39.19313049,200,0.007876121,-0.08935754,0.165656671,0.982095242,4.649958134,1.879140496,0.027865261,0.341536731,-1.824437261,-1.087437153,-1.197782993,-0.413428038,0.115526199,0.470999986,0.33549741,0,0,1,1,0
3,1627,a3d9,1674047247,7.340000153,128,43923,18120,33.41485214,35.14553833,39.38169098,200,-0.02867778,0.02980384,0.198731363,0.979180872,4.628259182,1.817380786,-0.066186428,-0.055169493,-0.088757634,0.079025716,0.173204005,0.14525795,-0.183653831,0.470999986,0.398921659,0,0,0,1,0
3,1628,a3d9,1674047247,7.340000153,128,43923,18120,33.41485596,35.14553833,39.37541199,200,-0.029443154,0.028388625,0.199435815,0.979056954,4.643957615,1.829440355,-0.066637665,-0.027824108,-0.034344107,0.047457859,0.140154809,0.184823692,-0.095845222,0.470999986,0.400339253,0,0,0,1,0
3,1629,a3d9,1674047247,7.409999847,141,43931,18120,33.41485977,35.14554214,39.37657166,200,-0.028380668,0.02751215,0.200353697,0.978925943,4.659471989,1.850820899,-0.070619747,0.012141474,0.011618312,-0.025651745,0.074531987,0.170402125,-0.005589485,0.470999986,0.402299497,0,0,0,1,0
3,1630,a3d9,1674047247,7.409999847,141,43931,18120,33.41486359,35.14554214,39.37129974,200,-0.027286891,0.027179269,0.201002061,0.978833437,4.668751717,1.86396873,-0.074685872,0.008566059,-0.034851838,-0.018068882,0.088230073,0.141837046,-0.008932114,0.470999986,0.403697831,0,0,0,1,0
3,1631,a3d9,1674047247,7.409999847,141,43920,18120,33.41487122,35.14554214,39.36730957,200,-0.026200272,0.026777998,0.201984674,0.978671908,4.683874607,1.88227129,-0.076263621,0.005932488,0.027554158,-0.042973358,0.092968948,0.099221706,0.064505577,0.470999986,0.4057787,0,0,0,1,0
3,1632,a3d9,1674047247,7.409999847,141,43920,18120,33.41487503,35.14554596,39.36049652,200,-0.025789851,0.025971327,0.202492729,0.978599548,4.69640398,1.89126277,-0.077300377,0.048891529,0.031504005,0.03546286,0.083486989,0.074286006,-0.006532669,0.470999986,0.406854547,0,0,0,1,0
3,1633,a3d9,1674047247,7.409999847,141,43928,18120,33.41488266,35.14554596,39.35414886,200,-0.025682271,0.024582757,0.203386635,0.978452861,4.705173492,1.904393196,-0.077238515,0.02955555,-0.040443763,0.09284059,0.052282199,0.127100632,-0.047958374,0.470999986,0.408711899,0,0,0,1,0
3,1634,a3d9,1674047248,7.409999847,141,43928,18120,33.41488647,35.14554977,39.34759521,200,-0.025975712,0.023805197,0.203591451,0.978421748,4.712110043,1.920217991,-0.077553757,-0.030189628,-0.053633802,0.094661124,0.004249987,0.118500493,0.029063225,0.470999986,0.409128927,0,0,0,1,0
3,1635,a3d9,1674047248,7.409999847,141,43963,18350,33.41489029,35.14554977,39.33994293,200,-0.025556942,0.022906881,0.204105556,0.978347123,4.714277744,1.935909271,-0.075781174,0.013164966,-0.034856569,0.036581445,-0.025286708,0.168411404,-0.169355392,0.470999986,0.410219433,0,0,0,1,0
3,1636,a3d9,1674047248,7.409999847,141,43963,18350,33.4148941,35.14555359,39.33571625,200,-0.023997195,0.023407413,0.20401457,0.978393734,4.7171731,1.9508214,-0.07531634,0.05437734,0.037952796,-0.030200507,-0.011842261,0.132569939,0.031186104,0.470999986,0.410105808,0,0,0,1,0
